40397.9312	21342.45415
56018.95052	24782.73743
69375.9352	26718.52995
80351.24459	27453.90024
88826.74041	27137.93235
94714.91129	25754.96044
97973.68493	23194.16843
98611.34479	19370.86464
96690.64493	14352.25514
92342.27014	8437.824438
85790.6944	2162.860954
77382.27084	-3773.969019
67597.2229	-8627.966844
57033.20863	-11726.53387
46368.51537	-12693.25819
36303.21422	-11899.98874
27430.49297	-10010.48327
20206.39269	-7788.192803
14951.72	-6059.209924
11837.96104	-5693.874314
10853.87533	-7594.119208
11653.33586	-12431.60385
13264.93505	-19854.24657
14779.99258	-28981.39653
15658.86093	-38580.63557
15786.47551	-47134.90826
15372.7144	-53019.60555
14659.72928	-54777.46031
13763.16897	-51634.41958
13159.34909	-44274.94385
12977.15365	-34056.0323
13099.48677	-22431.65297
13527.42736	-10636.7663
14601.53917	490.447814
17056.89641	10542.75262
21639.74542	19521.70574
28020.99049	27817.79546
35557.60127	35699.8534
43517.5106	43189.71599
51037.10197	50111.82693
57110.16441	56162.15137
60622.685	60969.35917
60654.77213	64149.62982
57234.61987	65395.51851
50767.87074	64535.13898
41829.73747	61551.28123
31115.21332	56590.57012
19362.94146	49955.61227
7286.378011	42074.80834
-4483.018372	33463.4662
-15453.711	24694.98506
-25221.46444	16344.98141
-33439.33686	8952.061952
-39802.43995	2977.864078
-44032.81808	-1246.878135
-45863.60861	-3587.846156
-45167.6902	-4177.577909
-42380.92583	-3432.309492
-38078.10479	-1864.253056
-32830.13046	52.89130795
-27200.79559	1971.108652
-21739.17393	3728.698028
-16965.56248	5386.737692
-13197.45786	7179.552439
-10087.50882	9256.667757
-7150.463346	11663.37896
-3957.919478	14330.23605
-174.1093956	17048.85757
4402.250757	19454.47659
9795.461046	21021.39539
15773.58858	21234.70181
21765.90668	20123.74188
27279.06298	17936.78275
32040.38303	15011.91656
36012.49009	11754.69258
39385.4232	8611.320154
42549.23072	6052.343944
45951.74168	4380.746068
49691.35772	3190.931198
53517.01363	2094.967809
56921.80263	949.5961327
59247.3783	-203.0083081
59810.66238	-1273.561043
58035.67979	-2327.217343
53692.80904	-3560.739567
47316.23293	-4716.379605
39697.7389	-5698.34493
31562.84155	-6584.416801
23450.39288	-7411.600163
15684.35474	-8026.569486
8414.169578	-8009.380371
1704.049294	-6889.917298
-4344.329552	-4878.722154
-9521.653184	-2277.581796
-13518.17012	648.2409339
-15967.0692	3589.832088
-16495.3685	6141.636825
-14761.89323	7779.533401
-10676.5309	8051.926344
-5003.662728	7165.99161
1346.026227	5536.797369
7583.28616	3635.724117
13048.85211	1933.157541
17159.84894	785.4620024
19304.80056	326.0542411
19041.77599	367.4840838
16980.91409	327.468963
13898.83007	-321.8802205
10495.61516	-1861.637238
7451.534754	-4314.64178
5464.854528	-7499.710653
5272.597898	-11121.50079
7383.248481	-14860.82675
11247.31962	-18421.26625
16075.13516	-21637.27475
21107.12201	-24452.65189
25612.60438	-26852.59696
28893.5325	-28792.31161
30294.01858	-30131.21365
29426.97838	-30670.83974
26810.99071	-30430.76137
23184.34979	-29512.3651
19257.07539	-28085.17297
15684.85244	-26421.2785
13046.0489	-24913.32756
11821.06722	-24082.59796
12216.15215	-24422.87407
13708.46169	-25888.29762
15638.55975	-28233.37234
17421.49552	-31124.88807
18576.92949	-34129.40058
18757.49129	-36707.30011
17765.65149	-38218.35696
15622.65969	-38127.42601
12729.67766	-36606.35836
9459.308696	-34067.43142
6033.015115	-30992.6468
2537.760065	-27919.60388
-1040.10517	-25425.58495
-4776.067332	-24116.32395
-8744.804616	-24394.44819
-12892.43866	-25780.32674
-17033.67379	-27619.10546
-20888.7489	-29320.10754
-24121.44659	-30354.67175
-26388.01751	-30231.72706
-27397.54598	-28439.07347
-27036.14269	-24635.85163
-25591.11876	-19416.33954
-23479.60596	-13423.60496
-21056.39618	-7125.487904
-18534.62853	-929.3345407
-15988.1078	4690.694815
-13431.63635	9092.646521
-10913.30512	11682.95074
-8492.243691	12722.32869
-6296.50221	12639.92552
-4499.471569	11862.01454
-3260.874762	10864.08367
-2672.419628	10188.38203
-2716.495981	10438.7212
-3221.297633	12088.99139
-3829.156911	14931.87068
-4169.981188	18565.87762
-3924.047805	22551.62318
-2845.187753	26402.2025
-791.0174389	29578.68037
2243.908578	31492.98306
6068.420663	31669.27407
10229.12402	30224.04385
14285.68232	27483.69804
17918.36	23853.43408
20954.2466	19814.21247
23377.83902	15914.54631
25324.22124	12759.81536
27026.65077	10830.11173
28659.5336	9959.873289
30223.93384	9852.000887
31539.05002	10235.60895
32276.38058	10831.14327
32019.89118	11295.93134
30346.56754	11163.75729
27026.07082	10021.43558
22414.97828	8175.569328
17083.15871	6089.250013
11603.07803	4281.959511
6491.51933	3394.446716
2219.312546	4182.740996
-720.6049768	7455.749737
-1873.757649	13683.56367
-1254.597798	22031.11489
966.9371646	31291.20579
4477.235302	40249.52197
8747.096043	47750.61281
13060.76323	52735.52987
16652.6838	54225.66368
18945.07221	51638.95249
19803.45926	45864.50393
19379.07823	38088.06101
17885.24027	29427.25437
15432.05762	20960.25487
11944.09277	13750.85377
7165.751485	8875.2632
883.4329046	7130.646123
-6525.482695	8088.031069
-14427.59821	11095.17756
-22055.18833	15569.94355
-28528.88936	20931.23873
-32911.71331	26514.56861
-34288.64942	31494.27377
-32143.4477	35037.77998
-27266.28289	36948.78778
-20836.04526	37283.92319
-14075.26078	36277.82265
-8196.985874	34379.74934
-4366.546056	32226.96171
-3693.691147	30559.21105
-6900.405135	29971.77706
-13286.50971	30442.60119
-21806.11026	31625.33154
-31379.71727	33046.17499
-40837.25833	34221.42059
-48885.89425	34755.39278
-54131.95966	34381.37243
-55489.63196	33026.25338
-53262.87588	31027.3338
-48246.76567	28696.89123
-41393.09287	26205.84039
-33749.7315	23646.18841
-26388.11041	21118.87181
-20343.06593	18811.65443
-16328.20856	16957.09675
-13990.88248	15552.11032
-12681.36201	14547.68362
-11716.58525	13898.21259
-10389.11943	13530.84707
-7977.68319	13301.14576
-3765.412744	12936.87556
2749.650726	12023.05888
11282.23666	10142.00711
21293.95964	6990.813366
32177.86896	2506.917589
43281.6305	-3019.24831
53948.44035	-8883.430605
63559.60682	-13994.81416
71555.44557	-17018.27033
77417.21729	-16631.5685
80614.45577	-11853.19614
80546.93089	-2351.089999
76516.31864	11375.1066
